报告编码,医院_伤害,医院_伤害_input,医院_伤害表现,医院_器械故障表现,医院_使用过程,医院_事件原因分析,医院_事件原因分析描述,企业_伤害表现,企业_伤害_input,企业_器械故障表现,企业_使用过程,企业_事件原因分析
1253717032025000629,其他,[CLS]未使用于患者无伤害[SEP]机器无法开机[SEP]2025821新生儿科装备专管员在对科室设备检查是否处于完好备用状态时发现该机器无法开机立即联系器械科维修未用于患者未造成不良影响[SEP],未使用于患者无伤害,机器无法开机,2025821新生儿科装备专管员在对科室设备检查是否处于完好备用状态时发现该机器无法开机立即联系器械科维修未用于患者未造成不良影响,产品原因（包括说明书等）,经器械科工程师检修发现电路板损坏无维修价值申请报废处理,未使用于患者无伤害,[CLS]未使用于患者无伤害[SEP]机器无法开机[SEP]2025821新生儿科装备专管员在对科室设备检查是否处于完好备用状态时发现该机器无法开机立即联系器械科维修未用于患者未造成不良影响[SEP],机器无法开机,2025821新生儿科装备专管员在对科室设备检查是否处于完好备用状态时发现该机器无法开机立即联系器械科维修未用于患者未造成不良影响,该设备已经使用超过13年经长期临床使用电源板老化故障无法为设备提供电量从而无法开机
1386205042025000496,其他,[CLS]该设备按正常操作流程安装注射器后无法设备注射器[SEP]该设备按正常操作流程安装注射器后无法设备注射器[SEP]开机自检通过但该设备按正常操作流程安装注射器后无法设备注射器设备报注射器脱落故障[SEP],该设备按正常操作流程安装注射器后无法设备注射器,该设备按正常操作流程安装注射器后无法设备注射器,开机自检通过但该设备按正常操作流程安装注射器后无法设备注射器设备报注射器脱落故障,产品原因（包括说明书等）,开机自检通过但该设备按正常操作流程安装注射器后无法设备注射器设备报注射器脱落故障,该设备按正常操作流程安装注射器后无法设备注射器,[CLS]该设备按正常操作流程安装注射器后无法设备注射器[SEP]该设备按正常操作流程安装注射器后无法设备注射器[SEP]开机自检通过但该设备按正常操作流程安装注射器后无法设备注射器设备报注射器脱落故障[SEP],该设备按正常操作流程安装注射器后无法设备注射器,开机自检通过但该设备按正常操作流程安装注射器后无法设备注射器设备报注射器脱落故障,分析问题发生的原因可能为生产时短电位器插头未固定牢固经频繁地临床转运搬动设备设备受到震动跌宕导致内部短电位器插头松动
1253717032025000614,其他,[CLS]无[SEP]注射泵拉杆脱落[SEP]2025年8月5日1510呼吸内二科医护人员为患者泵入降压药物时安装注射泵时拉杆无故从仪器凹槽内脱落导致无法正常安装注射器立即为患者更换备用设备因处理及时未对患者造成不良影响随后报修至器械科维修[SEP],无,注射泵拉杆脱落,2025年8月5日1510呼吸内二科医护人员为患者泵入降压药物时安装注射泵时拉杆无故从仪器凹槽内脱落导致无法正常安装注射器立即为患者更换备用设备因处理及时未对患者造成不良影响随后报修至器械科维修,无法确定,仪器老化拉杆凹槽松动,无,[CLS]无[SEP]注射泵拉杆脱落[SEP]2025年8月5日1510呼吸内二科医护人员为患者泵入降压药物时安装注射泵时拉杆无故从仪器凹槽内脱落导致无法正常安装注射器立即为患者更换备用设备因处理及时未对患者造成不良影响随后报修至器械科维修[SEP],注射泵拉杆脱落,2025年8月5日1510呼吸内二科医护人员为患者泵入降压药物时安装注射泵时拉杆无故从仪器凹槽内脱落导致无法正常安装注射器立即为患者更换备用设备因处理及时未对患者造成不良影响随后报修至器械科维修,该设备已使用超13年长期临床使用频繁捏合捏柄调节离合器位置导致推拉盒内部的螺丝松动无法固定注射器末端以完成推注动作
1253715062025000422,其他,[CLS]无[SEP]机器报警离合未闭[SEP]2025819护理人员在使用该机器为病人进行药物注射时发现启动后机器一直报警显示离合未闭经工程师检测为内部线路磨损待返厂维修[SEP],无,机器报警离合未闭,2025819护理人员在使用该机器为病人进行药物注射时发现启动后机器一直报警显示离合未闭经工程师检测为内部线路磨损待返厂维修,产品原因（包括说明书等）,产品质量问题,无,[CLS]无[SEP]机器报警离合未闭[SEP]2025819护理人员在使用该机器为病人进行药物注射时发现启动后机器一直报警显示离合未闭经工程师检测为内部线路磨损待返厂维修[SEP],机器报警离合未闭,2025819护理人员在使用该机器为病人进行药物注射时发现启动后机器一直报警显示离合未闭经工程师检测为内部线路磨损待返厂维修,分析问题发生的原因可能为生产过程中内部FPC线未固定牢固在临床搬运过程中产生晃动FPC线与周围电路板摩擦导致磨损而FPC线是负责传递离合检测信号损坏后造成检测信号中断从而发生报警
1253715022025000322,其他,[CLS]M210202_给药不足[SEP]D0101_故障提示D0102_意外停机[SEP]2025年7月22日科室使用设备进行药物注射时设备阻塞报警及系统故障6报警科室工作人员立即更换同类型设备并联系设备科进行维修[SEP],M210202_给药不足,D0101_故障提示D0102_意外停机,2025年7月22日科室使用设备进行药物注射时设备阻塞报警及系统故障6报警科室工作人员立即更换同类型设备并联系设备科进行维修,产品原因（包括说明书等）,疑似产品质量缺陷,M210202_给药不足,[CLS]M210202_给药不足[SEP]D0101_故障提示D0102_意外停机[SEP]2025年7月22日科室使用设备进行药物注射时设备阻塞报警及系统故障6报警科室工作人员立即更换同类型设备并联系设备科进行维修[SEP],D0101_故障提示D0102_意外停机,2025年7月22日科室使用设备进行药物注射时设备阻塞报警及系统故障6报警科室工作人员立即更换同类型设备并联系设备科进行维修,根据故障现象与使用情况判断问题发生原因可能为设备在临床使用过程中频繁转运与搬动导致设备震动跌宕压力传感器插头出现松动
1162101072025000507,其他,[CLS]无法正常给药[SEP]双泵上层一路卡夹损坏[SEP]患者于2025821在我院进行蛛网膜下腔出血时使用注射泵泵入降压药物时发现卡夹无弹力夹不住注射器给予更换注射泵[SEP],无法正常给药,双泵上层一路卡夹损坏,患者于2025821在我院进行蛛网膜下腔出血时使用注射泵泵入降压药物时发现卡夹无弹力夹不住注射器给予更换注射泵,无法确定,卡夹无弹力,无法正常给药,[CLS]无法正常给药[SEP]双泵上层一路卡夹损坏[SEP]患者于2025821在我院进行蛛网膜下腔出血时使用注射泵泵入降压药物时发现卡夹无弹力夹不住注射器给予更换注射泵[SEP],双泵上层一路卡夹损坏,患者于2025821在我院进行蛛网膜下腔出血时使用注射泵泵入降压药物时发现卡夹无弹力夹不住注射器给予更换注射泵,长期临床使用频繁捏合捏柄导致捏柄材质老化开裂而捏柄是固定注射器推杆尾端的装置部件之一控制注射泵的注射器夹张开与闭合当其损伤后无法固定注射器
1162101072025000505,其他,[CLS]无法正常注射药物[SEP]无法开机[SEP]202508210827患者以言语笨拙5天加重1天到我院住院1209行DSA术后返回病房遵医嘱予替罗非班6mlh注射泵输注抗血小板治疗发现注射泵无法开机立即更换注射泵对患者未造成不良影响[SEP],无法正常注射药物,无法开机,202508210827患者以言语笨拙5天加重1天到我院住院1209行DSA术后返回病房遵医嘱予替罗非班6mlh注射泵输注抗血小板治疗发现注射泵无法开机立即更换注射泵对患者未造成不良影响,无法确定,注射泵系统故障,无法正常注射药物,[CLS]无法正常注射药物[SEP]无法开机[SEP]202508210827患者以言语笨拙5天加重1天到我院住院1209行DSA术后返回病房遵医嘱予替罗非班6mlh注射泵输注抗血小板治疗发现注射泵无法开机立即更换注射泵对患者未造成不良影响[SEP],无法开机,202508210827患者以言语笨拙5天加重1天到我院住院1209行DSA术后返回病房遵医嘱予替罗非班6mlh注射泵输注抗血小板治疗发现注射泵无法开机立即更换注射泵对患者未造成不良影响,长期临床使用电源板针脚焊点氧化当设备受到剧烈的震动可能出现焊点松脱的情况电源板是设备的供电模块为设备传递电量当发生故障时无法将交流电或电池电量传递给设备导致设备无法正常开机
1253706002025001186,其他,[CLS]无[SEP]注射泵时间无法正确调整[SEP]护士检查仪器过程中发现该注射泵无法正确调整时间[SEP],无,注射泵时间无法正确调整,护士检查仪器过程中发现该注射泵无法正确调整时间,产品原因（包括说明书等）,电路板供电电池亏电,无,[CLS]无[SEP]注射泵时间无法正确调整[SEP]护士检查仪器过程中发现该注射泵无法正确调整时间[SEP],注射泵时间无法正确调整,护士检查仪器过程中发现该注射泵无法正确调整时间,该设备使用5年多长期使用导致主板系统电池电量不足无法存储时间
1376104002025000305,其他,[CLS]未对患者造成伤害有安全隐患[SEP]注射泵显示工作状态但未工作也不报警输液倒退突然停止工作[SEP]27床患者史某于2025年7月28日医生开具医嘱09氯化钠注射液30毫升氟尿嘧啶注射液1克微量泵泵入泵素为2毫升每小时持续24小时大夜班早上7点护士处理该医嘱常规需泵打开电源开关安装配好药业的注射器调节流速并按启动键注射泵显示工作状态但未工作也不报警输液倒退突然停止工作当班护士立即给予更换注射泵通知外勤班将故障泵送设备科进行检查维修向患者解释并表示歉意[SEP],未对患者造成伤害有安全隐患,注射泵显示工作状态但未工作也不报警输液倒退突然停止工作,27床患者史某于2025年7月28日医生开具医嘱09氯化钠注射液30毫升氟尿嘧啶注射液1克微量泵泵入泵素为2毫升每小时持续24小时大夜班早上7点护士处理该医嘱常规需泵打开电源开关安装配好药业的注射器调节流速并按启动键注射泵显示工作状态但未工作也不报警输液倒退突然停止工作当班护士立即给予更换注射泵通知外勤班将故障泵送设备科进行检查维修向患者解释并表示歉意,产品原因（包括说明书等）,操作规范正确产品质量问题,未对患者造成伤害有安全隐患,[CLS]未对患者造成伤害有安全隐患[SEP]注射泵显示工作状态但未工作也不报警输液倒退突然停止工作[SEP]27床患者史某于2025年7月28日医生开具医嘱09氯化钠注射液30毫升氟尿嘧啶注射液1克微量泵泵入泵素为2毫升每小时持续24小时大夜班早上7点护士处理该医嘱常规需泵打开电源开关安装配好药业的注射器调节流速并按启动键注射泵显示工作状态但未工作也不报警输液倒退突然停止工作当班护士立即给予更换注射泵通知外勤班将故障泵送设备科进行检查维修向患者解释并表示歉意[SEP],注射泵显示工作状态但未工作也不报警输液倒退突然停止工作,27床患者史某于2025年7月28日医生开具医嘱09氯化钠注射液30毫升氟尿嘧啶注射液1克微量泵泵入泵素为2毫升每小时持续24小时大夜班早上7点护士处理该医嘱常规需泵打开电源开关安装配好药业的注射器调节流速并按启动键注射泵显示工作状态但未工作也不报警输液倒退突然停止工作当班护士立即给予更换注射泵通知外勤班将故障泵送设备科进行检查维修向患者解释并表示歉意,根据故障现象与设备使用情况分析故障发生的原因为设备经长期临床使用后丝杠积尘药液残留凝固导致电机转动但丝杠无法带动推动块顺畅运动推动块卡滞后无法推动推杆输液系统因机械阻力过载停止且未触发压力报警报警阈值未达
1162101072025000443,其他,[CLS]无法用于输液[SEP]注射泵插头损坏[SEP]患者于2025728在我院进行急性心梗治疗728日使用注射泵用于治疗心肌缺血注射泵插头损坏重新更换注射泵[SEP],无法用于输液,注射泵插头损坏,患者于2025728在我院进行急性心梗治疗728日使用注射泵用于治疗心肌缺血注射泵插头损坏重新更换注射泵,无法确定,注射泵插头损坏,无法用于输液,[CLS]无法用于输液[SEP]注射泵插头损坏[SEP]患者于2025728在我院进行急性心梗治疗728日使用注射泵用于治疗心肌缺血注射泵插头损坏重新更换注射泵[SEP],注射泵插头损坏,患者于2025728在我院进行急性心梗治疗728日使用注射泵用于治疗心肌缺血注射泵插头损坏重新更换注射泵,由于该设备已使用10年处于超期使用状态长期临床使用频繁插拔电源线电源线插头处老化接触不良无法正常为设备传递电量从而无法正常开机
1274204002025000552,其他,[CLS]无[SEP]微量泵不能使用自身的电池供电[SEP]2025年7月25日护士使用注射泵对患者进行恒速静脉输注药液设备开机自检时发现微量泵不能使用自身的电池供电用交流电正常工作护士重新更换一台注射泵使用并将该情况上报设备科维修[SEP],无,微量泵不能使用自身的电池供电,2025年7月25日护士使用注射泵对患者进行恒速静脉输注药液设备开机自检时发现微量泵不能使用自身的电池供电用交流电正常工作护士重新更换一台注射泵使用并将该情况上报设备科维修,无法确定,检查后发现电池失效,无,[CLS]无[SEP]微量泵不能使用自身的电池供电[SEP]2025年7月25日护士使用注射泵对患者进行恒速静脉输注药液设备开机自检时发现微量泵不能使用自身的电池供电用交流电正常工作护士重新更换一台注射泵使用并将该情况上报设备科维修[SEP],微量泵不能使用自身的电池供电,2025年7月25日护士使用注射泵对患者进行恒速静脉输注药液设备开机自检时发现微量泵不能使用自身的电池供电用交流电正常工作护士重新更换一台注射泵使用并将该情况上报设备科维修,由于该设备已使用12年处于超期5年使用状态长期临床使用频繁对电池进行充放电电池老化性能下降无法满足设备转运时的供电需求
1151527072025000238,其他,[CLS]无[SEP]D010301_操作失效[SEP]介入室准备为患者药物注射使用注射泵开机后设备报警系统故障4无法操作与患者无关[SEP],无,D010301_操作失效,介入室准备为患者药物注射使用注射泵开机后设备报警系统故障4无法操作与患者无关,产品原因（包括说明书等）,设备故障,无,[CLS]无[SEP]D010301_操作失效[SEP]介入室准备为患者药物注射使用注射泵开机后设备报警系统故障4无法操作与患者无关[SEP],D010301_操作失效,介入室准备为患者药物注射使用注射泵开机后设备报警系统故障4无法操作与患者无关,该设备已使用6年临床使用过程中频繁搬动设备设备受到震动与跌宕内部电线晃动导致线束插头松动
1253711042025000392,其他,[CLS]延长治疗时间增加了病人痛苦[SEP]D0101_故障提示[SEP]2025年8月13日科室在为患者使用该注射泵注射丙泊酚药物时发生离合未必报警立即为病人更换其他注射泵并报修设备工程师工程师维修判断为离合器排线损坏更换后故障消除[SEP],延长治疗时间增加了病人痛苦,D0101_故障提示,2025年8月13日科室在为患者使用该注射泵注射丙泊酚药物时发生离合未必报警立即为病人更换其他注射泵并报修设备工程师工程师维修判断为离合器排线损坏更换后故障消除,产品原因（包括说明书等）,注射泵离合器排线损坏导致发生离合未必报警,延长治疗时间增加了病人痛苦,[CLS]延长治疗时间增加了病人痛苦[SEP]D0101_故障提示[SEP]2025年8月13日科室在为患者使用该注射泵注射丙泊酚药物时发生离合未必报警立即为病人更换其他注射泵并报修设备工程师工程师维修判断为离合器排线损坏更换后故障消除[SEP],D0101_故障提示,2025年8月13日科室在为患者使用该注射泵注射丙泊酚药物时发生离合未必报警立即为病人更换其他注射泵并报修设备工程师工程师维修判断为离合器排线损坏更换后故障消除,分析问题发生的原因可能为生产过程中内部FPC线未固定牢固在临床搬运过程中产生晃动FPC线与周围电路板摩擦导致磨损而FPC线是负责传递离合检测信号损坏后造成检测信号中断从而发生报警
1264126152025000267,其他,[CLS]无伤害[SEP]开机报警[SEP]患者使用前开机自检机器报警不能使用更换其他机器给患者使用随后通知维修人员前来维修[SEP],无伤害,开机报警,患者使用前开机自检机器报警不能使用更换其他机器给患者使用随后通知维修人员前来维修,无法确定,开机报警显示电池电量低怀疑电池老化,无伤害,[CLS]无伤害[SEP]开机报警[SEP]患者使用前开机自检机器报警不能使用更换其他机器给患者使用随后通知维修人员前来维修[SEP],开机报警,患者使用前开机自检机器报警不能使用更换其他机器给患者使用随后通知维修人员前来维修,由于该设备已使用5年长期临床使用导致电池老化蓄电能力下降无法满足电池模式下设备正常工作电量需求所以开机后报警电池电量低
1141409022025000015,其他,[CLS]无[SEP]正常使用时推拉杆手柄折断[SEP]正常使用时推拉杆手柄折断[SEP],无,正常使用时推拉杆手柄折断,正常使用时推拉杆手柄折断,产品原因（包括说明书等）,手柄不够坚固,无,[CLS]无[SEP]正常使用时推拉杆手柄折断[SEP]正常使用时推拉杆手柄折断[SEP],正常使用时推拉杆手柄折断,正常使用时推拉杆手柄折断,由于该设备已12年处于超期使用状态长期临床使用频繁捏合捏柄导致捏柄材质老化开裂而捏柄是固定注射器推杆尾端的装置部件之一控制注射泵的注射器夹张开与闭合当其损伤后无法调节离合器位置
1151503112025000031,其他,[CLS]无[SEP]D10100301_开启交直流电故障[SEP]2025年08月20日0800在内一护士长检查每日设备时发现机器无法开机得不良事件上报维修不涉及患者无联合用械情况[SEP],无,D10100301_开启交直流电故障,2025年08月20日0800在内一护士长检查每日设备时发现机器无法开机得不良事件上报维修不涉及患者无联合用械情况,产品原因（包括说明书等）,本院工程师在接到消息后对注射泵进行排查发现电源线N端零线端无反应定为电源线故障导致,无,[CLS]无[SEP]D10100301_开启交直流电故障[SEP]2025年08月20日0800在内一护士长检查每日设备时发现机器无法开机得不良事件上报维修不涉及患者无联合用械情况[SEP],D10100301_开启交直流电故障,2025年08月20日0800在内一护士长检查每日设备时发现机器无法开机得不良事件上报维修不涉及患者无联合用械情况,由于该设备已使用5年处于超期使用状态长期临床使用频繁拉扯弯折电源线电源线老化损伤无法为设备正常供电
1182304002025003843,其他,[CLS]null[SEP]电源线无法连接立即停止使用[SEP]准备注射时发现无法连接电源线立即停止使用[SEP],null,电源线无法连接立即停止使用,准备注射时发现无法连接电源线立即停止使用,产品原因（包括说明书等）,多次用力插拔导致插座内针脚变形,null,[CLS]null[SEP]电源线无法连接立即停止使用[SEP]准备注射时发现无法连接电源线立即停止使用[SEP],电源线无法连接立即停止使用,准备注射时发现无法连接电源线立即停止使用,该设备已使用5年此次故障的原因可能为在插拔电源线插头过程中用力过猛施加侧向应力或电源插口处受到外力挤压导致针脚歪斜从而无法与电源线插头的对应触点形成有效稳定的电气连接造成设备无法正常供电
1253715022025000323,严重伤害,[CLS]M210202_给药不足[SEP]D0101_故障提示D0102_意外停机[SEP]2025年7月23日科室护理人员使用设备为患者进行药物注射时设备下面的通道报警系统故障6工作人员立即更换同类型设备并联系设备科进行维修[SEP],M210202_给药不足,D0101_故障提示D0102_意外停机,2025年7月23日科室护理人员使用设备为患者进行药物注射时设备下面的通道报警系统故障6工作人员立即更换同类型设备并联系设备科进行维修,产品原因（包括说明书等）,疑似产品设计缺陷,M210202_给药不足,[CLS]M210202_给药不足[SEP]D0101_故障提示D0102_意外停机[SEP]2025年7月23日科室护理人员使用设备为患者进行药物注射时设备下面的通道报警系统故障6工作人员立即更换同类型设备并联系设备科进行维修[SEP],D0101_故障提示D0102_意外停机,2025年7月23日科室护理人员使用设备为患者进行药物注射时设备下面的通道报警系统故障6工作人员立即更换同类型设备并联系设备科进行维修,1院方上报为严重伤害问题发生时设备发出系统报警停止工作有耽误治疗的风险但已及时更换同类型注射泵未对患者造成不良影响未达到严重伤害的定义危及生命导致机体功能的永久性伤害或者机体结构的永久性损伤以及需采取医疗措施才能避免上述永久性伤害或者损伤因此我司认为其伤害程度应为其他2该设备已使用4年有余分析问题发生的原因可能为设备在频繁转运搬动过程中受到震动跌宕导致压力传感器插头松动从而出现连接不良
1253711042025000337,其他,[CLS]延长了治疗时间[SEP]D010501_准备启动失效[SEP]2025年7月9日患者杨新林需使用注射泵治疗当护理人员将注射器安装到设备上后报警离合未必设备无法运行设备故障后立即为病人更换其他注射泵并联系设备科维修人员到场维修判断为离合排线断裂更换离合排线后开机测试正常[SEP],延长了治疗时间,D010501_准备启动失效,2025年7月9日患者杨新林需使用注射泵治疗当护理人员将注射器安装到设备上后报警离合未必设备无法运行设备故障后立即为病人更换其他注射泵并联系设备科维修人员到场维修判断为离合排线断裂更换离合排线后开机测试正常,产品原因（包括说明书等）,注射泵离合排线断裂导致设备报警离合未闭,延长了治疗时间,[CLS]延长了治疗时间[SEP]D010501_准备启动失效[SEP]2025年7月9日患者杨新林需使用注射泵治疗当护理人员将注射器安装到设备上后报警离合未必设备无法运行设备故障后立即为病人更换其他注射泵并联系设备科维修人员到场维修判断为离合排线断裂更换离合排线后开机测试正常[SEP],D010501_准备启动失效,2025年7月9日患者杨新林需使用注射泵治疗当护理人员将注射器安装到设备上后报警离合未必设备无法运行设备故障后立即为病人更换其他注射泵并联系设备科维修人员到场维修判断为离合排线断裂更换离合排线后开机测试正常,分析问题发生的原因可能为生产过程中内部FPC线未固定牢固在频繁的临床搬运过程中产生晃动FPC线与周围电路板摩擦导致磨损而FPC线是负责传递离合检测信号损坏后造成检测信号中断从而发生报警
